wmi,country,manufacturer,brand
# Source: https://en.wikipedia.org/wiki/World_Manufacturer_Identifier and https://vpic.nhtsa.dot.gov/api/vehicles/getallmanufacturers
# First character = country/region; chars 2-3 = manufacturer code
# === SOUTH AFRICA (A) ===
AAV,South Africa,Volkswagen of South Africa,Volkswagen
AHT,South Africa,Toyota South Africa,Toyota
ADM,South Africa,General Motors South Africa,General Motors
AC5,South Africa,Hyundai South Africa,Hyundai
AFA,South Africa,Ford South Africa,Ford
# === IVORY COAST / KENYA / NIGERIA (B) ===
BF9,Kenya,Kenya Vehicle Manufacturers,KVM
# === EGYPT / MOROCCO / TUNISIA (J-letters not used here, see L for Morocco) ===
# === JAPAN (J) ===
JA3,Japan,Mitsubishi,Mitsubishi
JA4,Japan,Mitsubishi Motors,Mitsubishi
JA7,Japan,Mitsubishi,Mitsubishi
JAA,Japan,Isuzu,Isuzu
JAB,Japan,Isuzu,Isuzu
JAC,Japan,Isuzu,Isuzu
JAE,Japan,Acura,Acura
JALC,Japan,Isuzu,Isuzu
JF1,Japan,Subaru (Fuji Heavy Industries),Subaru
JF2,Japan,Subaru,Subaru
JF3,Japan,Subaru,Subaru
JF4,Japan,Subaru,Subaru
JF5,Japan,Subaru,Subaru
JF6,Japan,Subaru,Subaru
JFE,Japan,Hino,Hino
JH1,Japan,Honda,Honda
JH2,Japan,Honda Motorcycle,Honda
JH3,Japan,Honda Acty,Honda
JH4,Japan,Honda (Acura),Acura
JH5,Japan,Honda,Honda
JHG,Japan,Honda,Honda
JHL,Japan,Honda (HR-V CR-V),Honda
JHM,Japan,Honda,Honda
JHN,Japan,Honda,Honda
JHZ,Japan,Honda,Honda
JK,Japan,Kawasaki Heavy Industries,Kawasaki
JKA,Japan,Kawasaki,Kawasaki
JKB,Japan,Kawasaki,Kawasaki
JL5,Japan,Mitsubishi Fuso,Mitsubishi Fuso
JLA,Japan,Daihatsu,Daihatsu
JM1,Japan,Mazda,Mazda
JM3,Japan,Mazda,Mazda
JM6,Japan,Mazda,Mazda
JM7,Japan,Mazda,Mazda
JMA,Japan,Mitsubishi,Mitsubishi
JMB,Japan,Mitsubishi,Mitsubishi
JMY,Japan,Mitsubishi,Mitsubishi
JMZ,Japan,Mazda,Mazda
JN1,Japan,Nissan (Datsun),Nissan
JN3,Japan,Nissan,Nissan
JN6,Japan,Nissan,Nissan
JN8,Japan,Nissan,Nissan
JNA,Japan,Nissan Diesel,Nissan
JNK,Japan,Infiniti,Infiniti
JNR,Japan,Infiniti,Infiniti
JNX,Japan,Infiniti,Infiniti
JS2,Japan,Suzuki,Suzuki
JS3,Japan,Suzuki,Suzuki
